ProductId,Time,Rating,Sentiment Score,Sentiment Label,Summary
,2019-07-29,5,0.745714,positive,Your Dog Will Love This
,2019-06-10,5,0.783068,positive,Great Stuff!
,2019-10-17,4,0.908297,positive,Steel Cut Oatmeal
,2019-04-04,5,0.607632,positive,Better than rolled oats
,2019-05-28,1,-0.374141,negative,High quality product in plastic container...illogical!
,2019-07-24,4,0.362434,positive,Dogs Loved This Food! People Like the Convenience but still concerned over quality
,2019-01-23,3,-0.447464,negative,"Great Product, Cans Are Dented"
,2019-08-11,5,0.987410,positive,so good
,2019-07-23,5,0.498752,positive,"*pant, pant* Yeah, we love it.  *pant, pant*"
,2019-01-10,5,0.673070,positive,I buy this brand because its the best...................................
,2019-07-26,5,0.911255,positive,Feet Action
,2019-05-18,5,-0.720399,negative,Finally!!! Amazing result!!!
,2019-06-24,5,-0.626043,negative,Read this if you have keratosis piliarisis!!!
,2019-03-02,5,0.336954,positive,Slooow Cooking
,2019-02-05,5,0.497022,positive,mighty fine
,2019-01-09,5,-0.755140,negative,Save money...order it in boxes instead of tins
,2019-09-17,5,-0.446265,negative,Great Product
,2019-02-21,5,0.524737,positive,Gotta Love Amazon
,2019-01-10,5,0.557944,positive,"If you like oatmeal,"
,2019-03-05,5,-0.569301,negative,"Awesome, Manuka is the real deal!"
,2019-08-11,5,0.521678,positive,Manuka magick!
,2019-01-30,5,0.820071,positive,Steel Cut Oatmean
,2019-09-18,3,-0.496711,negative,Not Something I would Get Again
,2019-01-05,4,0.474087,positive,Will buy again
,2019-07-23,5,0.689089,positive,Dogs love it !!!
,2019-03-21,5,-0.330722,negative,Manuka Honey as a cure
,2019-02-02,5,0.814772,positive,All i can say is wow!!!!
,2019-07-28,3,-0.756841,negative,Did'nt work that well for me....
,2019-03-18,3,-0.457411,negative,I really wanted to like this.
,2019-01-15,4,0.468587,positive,VERY TASTY
,2019-02-15,5,0.670065,positive,Nothing better!
,2019-02-11,4,0.506158,positive,Great flavor
,2019-05-01,5,0.758948,positive,Hair SOOO Soft Skin so Soft
,2019-01-22,5,0.432711,positive,Fantastic product and price
,2019-09-28,5,0.381907,positive,Our picky dogs like it
,2019-04-24,5,0.872526,positive,Great Honey
,2019-01-20,5,0.494272,positive,Excellent
,2019-06-14,4,0.635951,positive,How to review dog food
,2019-03-02,5,-0.549950,negative,great product
,2019-07-28,4,0.283929,positive,Average sized bits that the dogs just loved
,2019-05-13,5,0.892942,positive,Best oat meal on the market
,2019-08-07,4,0.661897,positive,Great for homemade baby wipes
,2019-10-13,4,0.604235,positive,Definitely enjoyed
,2019-03-06,5,0.773030,positive,This stuff is the truth
,2019-07-08,5,0.628006,positive,Awesome
